,school,test_optional?,applies_to_class_year(s),policy_details,number_of_applicants,accept_rate,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
103,Reed College,Yes (TB),2021 2022,Reed has adopted a two-year test blind admission policy which means students' SAT and ACT scores will not be considered as part of their application review.,5815,0.395,1325.0,1520.0,30.0,34.0
104,Binghamton University—​SUNY,Yes,2021,Binghamton University (SUNY) has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,38755,0.398,1310.0,1440.0,28.0,32.0
105,Dickinson College,Yes,All / Permanent Policy,Dickinson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6426,0.401,1240.0,1410.0,28.0,32.0
106,University of Tulsa,Yes,2021,University of Tulsa has adopted a one-year test optional policy for first-year applicants entering in the Spring and Fall of 2021.,8526,0.408,1180.0,1410.0,25.0,32.0
107,George Washington University,Yes,All / Permanent Policy,George Washington University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants applying to the accelerated Seven-Year B.A./M.D. Program students who attend secondary schools that do not provide letter grades homeschooled students and recruited NCAA Division 1 athletes are not eligible for test optional admission.,26968,0.409,1280.0,1470.0,29.0,33.0
108,University of California—​Davis,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,76647,0.412,1150.0,1410.0,25.0,31.0
109,Stevens Institute of Technology,Yes,2021,Stevens Institute of Technology has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However homeschooled students and students applying to the Pre-Med and Pre-Law programs are not eligible for test optional admissions.,9265,0.414,1330.0,1480.0,30.0,33.0
110,St. Lawrence University,Yes,All / Permanent Policy,St. Lawrence offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students are not eligible for test optional admission.,6998,0.424,1160.0,1350.0,24.0,30.0
111,Union College (Schenectady NY),Yes,All / Permanent Policy,Union College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and those applying for the Leadership in Medicine program or the 3+3 Accelerated Law Program are not eligible for test optional admission.,6086,0.429,1220.0,1420.0,27.0,32.0
112,Rensselaer Polytechnic Institute,Yes,2021,Rensselaer has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,20402,0.43,1330.0,1500.0,29.0,33.0
113,Bentley University,Yes,2021,Bentley University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,9252,0.432,1240.0,1410.0,28.0,32.0
114,CUNY--Baruch College,Yes (TB),2021,The CUNY system has adopted a one-year Test Blind policy for students applying to the Spring 2021 Fall 2021 and Spring 2022 semesters.,20303,0.434,1130.0,1330.0,,
115,Spelman College,Yes,2021,Spelman has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,9106,0.434,1080.0,1230.0,22.0,26.0
116,Loyola Marymount University,Yes,2021,Loyola Marymount University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,18592,0.438,1230.0,1410.0,27.0,31.0
117,University of Maryland—​College Park,Yes,2021,University of Maryland--College Park has adopted a one-year test optional policy for students applying for the Spring and Fall 2021 semesters.,32987,0.441,1280.0,1480.0,29.0,33.0
118,Stony Brook University—​SUNY,Yes,2021,Stony Brook University (SUNY) has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,37079,0.441,1230.0,1440.0,26.0,32.0
119,Rhodes College,Yes,2021 2022 2023,Rhodes College has adopted a three-year test optional policy for all first-year applicants beginning with the 2020-21 admission cycle. After a three-year pilot period Rhodes will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,5207,0.447,1220.0,1430.0,27.0,32.0
120,North Carolina State University—​Raleigh,Yes,2021,NC State has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,30995,0.449,1250.0,1390.0,27.0,31.0
121,Baylor University,Yes,2021,Baylor University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,34582,0.453,1200.0,1380.0,26.0,32.0
122,University of Dallas,Yes,2021,University of Dallas has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,4676,0.453,1150.0,1360.0,24.0,30.0
123,Gettysburg College,Yes,All / Permanent Policy,Gettysburg College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Gettysburg recommends that both international and homeschooled students submit SAT or ACT scores.,6269,0.454,1270.0,1420.0,26.0,30.0
124,Fordham University,Yes,2021 2022,Fordham University has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Fordham will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,46308,0.46,1250.0,1430.0,28.0,32.0
125,Texas Christian University,Yes,2021,Texas Christian University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,19028,0.471,1150.0,1350.0,25.0,31.0
126,Southern Methodist University,Yes,2021,Southern Methodist University has adopted a one-year test optional policy for the 2020-21 admission cycle.,13959,0.473,1300.0,1480.0,29.0,33.0
127,Providence College,Yes,All / Permanent Policy,Providence College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,11478,0.475,1210.0,1350.0,27.0,31.0
128,St. Olaf College,Yes,All / Permanent Policy,St. Olaf College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5694,0.475,1190.0,1430.0,26.0,32.0
129,University of New Mexico,Yes,All / Permanent Policy,UNM offers a test optional policy which allows students to be considered for admission without test scores. However home-schooled and non-traditional students are not eligible for TO admission. Scores are also necessary for some scholarships.,12281,0.486,1040.0,1270.0,19.0,25.0
130,University of Georgia,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,26027,0.486,1240.0,1410.0,27.0,32.0
131,University of San Diego,Yes,All / Permanent Policy,University of San Diego offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13755,0.487,1200.0,1350.0,26.0,31.0
132,University of Connecticut,Yes,2021 2022 2023,Unversity of Connecticut has adopted a three-year test optional policy for all students beginning with the 2020-2021 admission cycle.,34886,0.488,1210.0,1420.0,26.0,31.0
