,school,test_optional?,applies_to_class_year(s),policy_details,number_of_applicants,accept_rate,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
406,Florida Institute of Technology,No,,Florida Institute of Technology requires either the SAT or ACT. It generally does not require the optional SAT Essay or ACT Writing Test but it may be required for some applicants. Subject Tests are not required however the Math II Chemistry Physics and Literature Subject Tests are recommended for homeschooled applicants.,9743,0.657,1150.0,1360.0,24.0,30.0
407,Louisiana State University—​Baton Rouge,No,,Louisiana State University requires either the SAT or the ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,24501,0.746,1080.0,1310.0,23.0,29.0
408,The Citadel,No,,The Citadel requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2742,0.747,1050.0,1230.0,20.0,25.0
409,New College of Florida,No,,The New College of Florida requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,1340,0.768,1220.0,1420.0,26.0,31.0
410,Thomas Aquinas College,No,,Thomas Aquinas College requires requires that applicants take the SAT the ACT or the Classic Learning Test. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required. Thomas Aquinas College does not offer merit-based aid.,211,0.777,1220.0,1400.0,25.0,30.0
411,University of Texas Rio Grande Valley,No,,University of Texas Rio Grande Valley requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,10680,0.798,950.0,1130.0,17.0,22.0
412,University of South Dakota,No,,Unviersity of South Dakota requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,4434,0.864,990.0,1180.0,19.0,25.0
413,University of Mississippi,No,,Ole Miss requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,15371,0.881,1050.0,1270.0,21.0,29.0
414,University of Wyoming,No,,University of Wyoming requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,5348,0.96,1060.0,1280.0,22.0,28.0
415,University of Texas El Paso,No,,UTEP requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. It does not superscore.,7157,0.999,820.0,1050.0,17.0,23.0
